grievance_text,severity
intrnet not working since morning since long time kya ho raha hai,High
"please check, having router not working continuously kya ho raha hai",Low
LAG problem SINCE MORNING!!! bhai,Low
"wifi down, what is this? kya ho raha hai",High
internet very lagging pls fix since long time yaar,Low
unstable connection bhai,Low
"please check, net not working since morning",High
unstable connection since morning since long time,Low
"please check, still disconnecting again and again",Low
router not working since morning since long time kya ho raha hai,Low
"please check, having net lagging continuously",Low
"please check, facing disconnecting again and again kya ho raha hai",Low
"please check, facing keeps dropping bhai",Low
NO CONNECTION!!!,High
ROUTER PROBLEM AGAIN!!! kya ho raha hai,Low
"net slow, what is this? since long time",Low
buffering issue since morning bhai,Low
"WIFI DOWN, WHAT IS THIS?!!! yaar",High
"please check, ping too high not resolved yet",Low
net gone since long time yaar,High
buffering trouble since morning since long time bhai,Low
speed is low from last night since long time kya ho raha hai,Low
FACING NO CONNECTION!!! bhai,High
"please check, still net slow bhai",Low
"please check, dns not resolving pls fix yaar",Low
having no connection continuously bhai,High
facing no connection since long time kya ho raha hai,High
having wifi down continuously bhai,High
"WIFI DOWN, WHAT IS THIS?!!! yaar",High
"please check, wifi gone from last night yaar",High
still internet gone since long time,High
FACING net GONE!!! bhai,High
no connection not resolved yet,High
net lagging from last night since long time bhai,Low
"PACKET LOSS HAPPENING, WHAT IS THIS?!!! kya masla hai",Low
"WIFI DOWN, WHAT IS THIS?!!!",High
dns not resolving again since long time yaar,Low
FACING net GONE!!! bhai,High
wifi down again since long time kya ho raha hai,High
still router not functioning since long time bhai,Low
no connection from last night kya masla hai,High
"dns not resolving, what is this? bhai",Low
"please check, wifi very slow from last night",Low
internet very slow from last night since long time kya ho raha hai,Low
"ping too high, what is this? since long time",Low
NO CONNECTION NOT RESOLVED YET!!!,High
NO CONNECTION FROM LAST NIGHT!!! bhai,High
"delay in response, what is this? yaar",Low
NET very slow SINCE MORNING!!! bhai,Low
dns not resolving since morning since long time,Low
"internet gone, what is this? kya ho raha hai",High
dns not resolving since morning kya ho raha hai,Low
net too slow pls fix bhai,Low
dns not resolving pls fix since long time,Low
data loss trouble again yaar,Low
"please check, packet loss happening, what is this? bhai",Low
"please check, speed is low pls fix",Low
HAVING WIFI DOWN CONTINUOUSLY!!!,High
HAVING connection GONE CONTINUOUSLY!!! yaar,High
"please check, internet gone, what is this? kya masla hai",High
"internet gone, what is this? kya ho raha hai",High
"please check, having net slow continuously kya masla hai",Low
"wifi down, what is this? yaar",High
DISCONNECTING AGAIN AND AGAIN SINCE MORNING!!! bhai,Low
internet gone not resolved yet since long time bhai,High
internet not wrkng from last night since long time kya ho raha hai,High
still internet not running,High
DATA LOSS trouble NOT RESOLVED YET!!! yaar,Low
"please check, no connection",High
speed is low kya ho raha hai,Low
"speed is low, what is this? since long time kya ho raha hai",Low
having data loss problem continuously yaar,Low
"please check, wifi down since morning kya ho raha hai",High
router not running pls fix since long time,Low
wifi down,High
"delay in response, what is this? bhai",Low
FACING KEEPS DROPPING!!! bhai,Low
"packet loss happening, what is this? bhai",Low
having delay in response continuously,Low
wifi down from last night bhai,High
FACING net GONE!!!,High
"please check, cannot access sites, what is this?",Low
NET SLOW!!!,Low
internet gone from last night kya masla hai,High
DATA LOSS trouble SINCE MORNING!!!,Low
"WIFI DOWN, WHAT IS THIS?!!!",High
"please check, having disconnecting again and again continuously",Low
still wifi gone yaar,High
"please check, having dns not resolving continuously kya masla hai",Low
internet gone since long time kya ho raha hai,High
"please check, net too slow from last night yaar",Low
HAVING UNSTABLE CONNECTION CONTINUOUSLY!!!,Low
"please check, facing keeps dropping kya ho raha hai",Low
"please check, lag problem",Low
"please check, facing unstable connection kya ho raha hai",Low
"please check, wifi down from last night",High
"please check, disconnecting again and again bhai",Low
"please check, net gone pls fix",High
facing buffering problem since long time,Low
"please check, facing wifi down",High
facing ping too high yaar,Low
still connection not working since long time,High
"net slow, what is this? bhai",Low
INTERNET NOT running AGAIN!!! bhai,High
FACING WIFI DOWN!!!,High
facing net not working since long time bhai,High
INTERNET VERY SLOW NOT RESOLVED YET!!! kya ho raha hai,Low
disconnecting again and again not resolved yet bhai,Low
"please check, keeps dropping from last night kya masla hai",Low
"please check, packet loss happening since morning bhai",Low
"intrnet gone, what is this?",High
DELAY IN RESPONSE SINCE MORNING!!! kya ho raha hai,Low
buffering issue from last night yaar,Low
wifi down pls fix since long time yaar,High
no connection since morning kya ho raha hai,High
keeps dropping again since long time kya ho raha hai,Low
"please check, router not running from last night",Low
"router not wrkng, what is this? since long time kya ho raha hai",Low
"please check, no connection, what is this? yaar",High
"please check, router problem from last night",Low
"please check, net gone",High
"please check, having internet not working continuously bhai",High
"cannot access sites, what is this? since long time kya masla hai",Low
"please check, facing ping too high kya masla hai",Low
still net lagging,Low
internet very slow again bhai,Low
HAVING DNS NOT RESOLVING CONTINUOUSLY!!! yaar,Low
DISCONNECTING AGAIN AND AGAIN FROM LAST NIGHT!!!,Low
ROUTER PROBLEM PLS FIX!!! bhai,Low
"please check, having no connection continuously yaar",High
wifi GONE PLS FIX!!! bhai,High
"please check, router problem kya ho raha hai",Low
no connection pls fix since long time bhai,High
having internet very very slow continuously,Low
no connection since morning yaar,High
STILL UNSTABLE CONNECTION!!!,Low
WIFI DOWN PLS FIX!!!,High
"please check, wifi down again kya ho raha hai",High
"please check, lag trouble from last night bhai",Low
net very slow from last night yaar,Low
wifi GONE AGAIN!!! yaar,High
router problem pls fix since long time kya ho raha hai,Low
facing keeps dropping bhai,Low
lag problem since morning since long time,Low
"please check, having intrnet gone continuously",High
having internet gone continuously since long time kya ho raha hai,High
DATA LOSS ISSUE SINCE MORNING!!!,Low
connection gone since long time,High
"please check, internet not working again yaar",High
"please check, no connection since morning bhai",High
wifi down from last night since long time kya ho raha hai,High
CANNOT ACCESS SITES SINCE MORNING!!! bhai,Low
"KEEPS DROPPING, WHAT IS THIS?!!!",Low
having buffering issue continuously since long time bhai,Low
"please check, having no connection continuously",High
HAVING ROUTER PROBLEM CONTINUOUSLY!!!,Low
no connection yaar,High
having internet gone continuously yaar,High
router not working from last night since long time,Low
"data loss issue, what is this? since long time kya masla hai",Low
disconnecting again and again not resolved yet since long time bhai,Low
"please check, data loss issue since morning yaar",Low
"please check, router problem, what is this?",Low
"please check, internet gone, what is this? yaar",High
UNSTABLE CONNECTION PLS FIX!!!,Low
having data loss problem continuously since long time bhai,Low
facing cannot access sites since long time yaar,Low
FACING WIFI DOWN!!! yaar,High
still keeps dropping since long time,Low
connection GONE FROM LAST NIGHT!!! bhai,High
facing wifi down since long time kya ho raha hai,High
"please check, ping too high not resolved yet bhai",Low
facing lag trouble,Low
no connection,High
no connection not resolved yet kya masla hai,High
lag trouble not resolved yet since long time kya ho raha hai,Low
ROUTER NOT WORKING NOT RESOLVED YET!!! bhai,Low
"net very slow, what is this? yaar",Low
router problem since morning since long time kya masla hai,Low
"please check, intrnet gone not resolved yet kya ho raha hai",High
"please check, facing net gone bhai",High
facing connection not working since long time bhai,High
buffering issue from last night bhai,Low
data loss trouble from last night,Low
still dns not resolving since long time kya ho raha hai,Low
"please check, data loss issue, what is this?",Low
UNSTABLE CONNECTION!!!,Low
buffering problem since morning,Low
"PING TOO HIGH, WHAT IS THIS?!!! bhai",Low
"please check, having no connection continuously",High
NO CONNECTION FROM LAST NIGHT!!! bhai,High
DNS NOT RESOLVING FROM LAST NIGHT!!! kya ho raha hai,Low
"please check, router problem not resolved yet",Low
disconnecting again and again from last night since long time kya ho raha hai,Low
HAVING INTERNET GONE CONTINUOUSLY!!!,High
lag problem pls fix kya ho raha hai,Low
connection NOT WORKING NOT RESOLVED YET!!! yaar,High
internet not wrkng since long time bhai,High
"WIFI DOWN, WHAT IS THIS?!!! kya ho raha hai",High
delay in response since morning since long time,Low
having intrnet gone continuously yaar,High
still no connection yaar,High
wifi GONE!!! yaar,High
CANNOT ACCESS SITES AGAIN!!! kya masla hai,Low
"connection NOT WORKING, WHAT IS THIS?!!! bhai",High
STILL net GONE!!!,High
"please check, internet not running not resolved yet bhai",High
wifi down since morning,High
"please check, dns not resolving not resolved yet bhai",Low
"please check, no connection not resolved yet yaar",High
FACING BUFFERING ISSUE!!!,Low
router not working not resolved yet bhai,Low
"please check, data loss problem again",Low
"please check, no connection not resolved yet bhai",High
no connection again since long time kya ho raha hai,High
"please check, net not working pls fix yaar",High
facing internet gone since long time bhai,High
"WIFI DOWN, WHAT IS THIS?!!!",High
"please check, still ping too high bhai",Low
DATA LOSS ISSUE!!!,Low
no connection yaar,High
speed is low pls fix since long time,Low
"please check, facing unstable connection kya ho raha hai",Low
disconnecting again and again again,Low
"please check, no connection from last night",High
wifi down not resolved yet kya ho raha hai,High
UNSTABLE CONNECTION SINCE MORNING!!! bhai,Low
dns not resolving since morning since long time kya masla hai,Low
"router not working, what is this? since long time kya ho raha hai",Low
having speed is low continuously since long time kya ho raha hai,Low
"disconnecting again and again, what is this? kya masla hai",Low
facing router not working since long time kya ho raha hai,Low
having net not working continuously since long time bhai,High
packet loss happening again,Low
"net gone, what is this? bhai",High
internet very too slow from last night,Low
net slow since morning kya ho raha hai,Low
still internet not working kya masla hai,High
router problem pls fix since long time kya ho raha hai,Low
"wifi gone, what is this? since long time",High
wifi gone pls fix since long time bhai,High
facing buffering trouble bhai,Low
connection not working pls fix,High
"please check, lag trouble from last night bhai",Low
NO CONNECTION SINCE MORNING!!!,High
still no connection since long time bhai,High
"please check, facing no connection",High
"wifi not working, what is this? since long time yaar",High
"dns not resolving, what is this?",Low
internet not working pls fix since long time,High
"wifi down, what is this? since long time yaar",High
DELAY IN RESPONSE NOT RESOLVED YET!!!,Low
dns not resolving again,Low
"please check, facing net slow yaar",Low
NET SLOW FROM LAST NIGHT!!! kya ho raha hai,Low
"please check, delay in response",Low
STILL DATA LOSS ISSUE!!!,Low
speed is low from last night bhai,Low
"router problem, what is this? bhai",Low
"please check, net slow since morning",Low
data loss problem again since long time,Low
connection not working from last night since long time,High
still router problem since long time kya ho raha hai,Low
"please check, still wifi down bhai",High
"please check, no connection bhai",High
internet gone again yaar,High
"lag issue, what is this? since long time kya ho raha hai",Low
"please check, net not working from last night yaar",High
"please check, disconnecting again and again from last night bhai",Low
"NET SLOW, WHAT IS THIS?!!!",Low
connection gone yaar,High
delay in response since morning since long time bhai,Low
"please check, net not working pls fix kya ho raha hai",High
"please check, no connection not resolved yet yaar",High
"unstable connection, what is this? kya ho raha hai",Low
facing delay in response yaar,Low
data loss problem since morning kya ho raha hai,Low
router not functioning not resolved yet since long time bhai,Low
still net very slow kya ho raha hai,Low
packet loss happening pls fix since long time yaar,Low
"BUFFERING ISSUE, WHAT IS THIS?!!! kya masla hai",Low
"please check, unstable connection from last night bhai",Low
"please check, buffering problem from last night",Low
still no connection kya masla hai,High
"please check, having wifi not working continuously yaar",High
no connection not resolved yet,High
having router not working continuously since long time bhai,Low
data loss issue,Low
net too slow kya masla hai,Low
"please check, still speed is low bhai",Low
net too slow not resolved yet bhai,Low
having net lagging continuously kya ho raha hai,Low
keeps dropping pls fix bhai,Low
unstable connection pls fix kya ho raha hai,Low
still buffering problem yaar,Low
data loss problem kya ho raha hai,Low
NO CONNECTION!!!,High
delay in response since morning since long time,Low
"please check, facing speed is low bhai",Low
PACKET LOSS HAPPENING SINCE MORNING!!! bhai,Low
still cannot access sites,Low
still keeps dropping,Low
UNSTABLE CONNECTION AGAIN!!!,Low
unstable connection not resolved yet yaar,Low
"data loss issue, what is this? since long time kya masla hai",Low
"internet not working, what is this?",High
NO CONNECTION SINCE MORNING!!! bhai,High
"please check, packet loss happening kya masla hai",Low
delay in response again since long time,Low
"please check, facing disconnecting again and again kya masla hai",Low
"please check, facing wifi down kya ho raha hai",High
connection gone again bhai,High
having keeps dropping continuously since long time,Low
"please check, facing wifi gone yaar",High
"please check, wifi gone since morning kya masla hai",High
FACING WIFI DOWN!!! bhai,High
"please check, having delay in response continuously",Low
facing ping too high kya ho raha hai,Low
"please check, having data loss trouble continuously bhai",Low
STILL DISCONNECTING AGAIN AND AGAIN!!! bhai,Low
PACKET LOSS HAPPENING NOT RESOLVED YET!!!,Low
"wifi down, what is this? since long time",High
speed is low pls fix since long time kya ho raha hai,Low
wifi down again kya masla hai,High
BUFFERING ISSUE!!! yaar,Low
wifi down pls fix since long time,High
"please check, having dns not resolving continuously kya ho raha hai",Low
